Date,Temperature,Max_Temperature,Min_Temperature,Relative_Humidity,Rainfall,Wind_Speed,Solar_Radiation
2017-01-06,18.56,26.89,11.21,64.5,0.0,2.99,27.08
2017-01-07,18.84,27.55,11.32,60.28,0.0,2.73,26.97
2017-01-08,19.9,28.92,11.88,52.51,0.0,2.21,23.82
2017-01-09,20.14,28.58,13.77,48.22,0.0,2.57,23.98
2017-01-10,18.06,26.32,11.3,53.07,0.0,3.39,26.43
2017-01-11,17.61,25.6,10.73,50.55,0.0,3.93,26.94
2017-01-12,17.97,26.69,10.79,51.55,0.0,3.78,27.98
2017-01-13,18.36,27.23,10.56,52.83,0.0,3.01,27.58
2017-01-14,19.29,28.16,11.29,54.7,0.01,2.82,24.31
2017-01-15,19.53,27.61,12.48,56.93,0.3,3.24,23.01
2017-01-16,18.38,26.78,11.16,51.4,0.02,3.59,27.41
2017-01-17,18.18,26.19,11.22,59.55,0.42,3.57,27.46
2017-01-18,18.62,27.03,11.33,63.19,0.05,3.54,27.3
2017-01-19,19.55,28.39,11.57,57.66,0.03,3.11,26.69
2017-01-20,19.87,28.3,13.44,57.16,0.01,3.08,24.97
2017-01-21,19.63,27.85,12.27,54.18,0.03,3.6,25.86
2017-01-22,18.71,25.73,13.28,63.17,0.67,3.77,26.63
2017-01-23,19.24,27.24,13.58,62.35,0.17,3.61,27.43
2017-01-24,19.4,28.32,11.37,56.26,0.06,3.2,28.15
2017-01-25,20.77,28.72,14.32,57.11,0.96,3.73,26.32
